Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
11,ORD-100011,13-02-2024,16-02-2024,Second Class,CUST-1011,Customer_11,Home Office,India,Pune,Maharashtra,411001,West,PROD-10011,Technology,Machines,Machines Product 11,2492.9,1,0,219.9
12,ORD-100012,08-03-2024,13-03-2024,Standard Class,CUST-1012,Customer_12,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10012,Furniture,Tables,Tables Product 12,2999.65,8,0.2,218.54
13,ORD-100013,28-04-2023,04-05-2023,Standard Class,CUST-1013,Customer_13,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10013,Furniture,Bookcases,Bookcases Product 13,1733.87,5,0.15,103.23
14,ORD-100014,27-09-2023,02-10-2023,Second Class,CUST-1014,Customer_14,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10014,Technology,Machines,Machines Product 14,4567.51,5,0.2,741.04
15,ORD-100015,15-06-2023,20-06-2023,First Class,CUST-1015,Customer_15,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10015,Office Supplies,Binders,Binders Product 15,3014.78,8,0,235.05
16,ORD-100016,03-09-2023,04-09-2023,Second Class,CUST-1016,Customer_16,Consumer,India,Pune,Maharashtra,411001,West,PROD-10016,Office Supplies,Binders,Binders Product 16,473.98,8,0,139.59
17,ORD-100017,06-11-2024,10-11-2024,Second Class,CUST-1017,Customer_17,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10017,Technology,Accessories,Accessories Product 17,2661.99,10,0.15,695.02
18,ORD-100018,16-11-2023,20-11-2023,Second Class,CUST-1018,Customer_18,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10018,Office Supplies,Paper,Paper Product 18,2218.6,9,0.15,111.49
19,ORD-100019,13-12-2023,14-12-2023,Standard Class,CUST-1019,Customer_19,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10019,Office Supplies,Binders,Binders Product 19,2962.78,1,0,672.43
20,ORD-100020,11-03-2023,12-03-2023,Second Class,CUST-1020,Customer_20,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10020,Furniture,Chairs,Chairs Product 20,2595.07,5,0.15,190.89
21,ORD-100021,07-08-2024,12-08-2024,Same Day,CUST-1021,Customer_21,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10021,Technology,Accessories,Accessories Product 21,4047.11,4,0,300.43
22,ORD-100022,09-03-2024,13-03-2024,First Class,CUST-1022,Customer_22,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10022,Office Supplies,Binders,Binders Product 22,3383.15,2,0,509.69
23,ORD-100023,12-09-2023,14-09-2023,Standard Class,CUST-1023,Customer_23,Corporate,India,Pune,Maharashtra,411001,West,PROD-10023,Office Supplies,Paper,Paper Product 23,743.9,3,0.1,108.35
24,ORD-100024,17-07-2024,18-07-2024,Same Day,CUST-1024,Customer_24,Corporate,India,Mumbai,Maharashtra,400001,West,PROD-10024,Office Supplies,Storage,Storage Product 24,4188.34,2,0.05,341.68
25,ORD-100025,07-08-2023,14-08-2023,Same Day,CUST-1025,Customer_25,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10025,Technology,Phones,Phones Product 25,1925.92,7,0.1,503.88
26,ORD-100026,09-03-2024,15-03-2024,Standard Class,CUST-1026,Customer_26,Home Office,India,Kolkata,West Bengal,700001,East,PROD-10026,Office Supplies,Storage,Storage Product 26,3606.12,3,0.05,411.74
27,ORD-100027,09-07-2024,10-07-2024,Second Class,CUST-1027,Customer_27,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10027,Furniture,Chairs,Chairs Product 27,298.2,8,0.2,71.52
28,ORD-100028,04-06-2024,05-06-2024,Second Class,CUST-1028,Customer_28,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10028,Technology,Phones,Phones Product 28,2995.42,4,0.15,149.69
29,ORD-100029,31-08-2024,01-09-2024,First Class,CUST-1029,Customer_29,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10029,Technology,Accessories,Accessories Product 29,3304,10,0.2,294.36
30,ORD-100030,16-11-2024,22-11-2024,Standard Class,CUST-1030,Customer_30,Consumer,India,Delhi,Delhi,110001,North,PROD-10030,Technology,Accessories,Accessories Product 30,2009.14,5,0.15,198.99
31,ORD-100031,14-04-2024,19-04-2024,First Class,CUST-1031,Customer_31,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10031,Technology,Phones,Phones Product 31,2711.29,9,0.1,171.12
32,ORD-100032,08-09-2023,11-09-2023,Standard Class,CUST-1032,Customer_32,Home Office,India,Delhi,Delhi,110001,North,PROD-10032,Technology,Accessories,Accessories Product 32,4177.04,5,0.2,1069.17
33,ORD-100033,21-07-2024,24-07-2024,First Class,CUST-1033,Customer_33,Home Office,India,Kolkata,West Bengal,700001,East,PROD-10033,Technology,Phones,Phones Product 33,1359.11,2,0.2,66.41
34,ORD-100034,04-08-2023,10-08-2023,Standard Class,CUST-1034,Customer_34,Consumer,India,Delhi,Delhi,110001,North,PROD-10034,Technology,Machines,Machines Product 34,3189.48,5,0.2,421.44
35,ORD-100035,11-10-2024,15-10-2024,Same Day,CUST-1035,Customer_35,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10035,Furniture,Chairs,Chairs Product 35,67.55,3,0.1,4.76
36,ORD-100036,23-12-2024,27-12-2024,First Class,CUST-1036,Customer_36,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10036,Technology,Phones,Phones Product 36,422.46,3,0.2,8.03
37,ORD-100037,19-07-2024,21-07-2024,Second Class,CUST-1037,Customer_37,Home Office,India,Bengaluru,Karnataka,560001,South,PROD-10037,Technology,Phones,Phones Product 37,1575.88,1,0.1,130.04
38,ORD-100038,16-04-2023,19-04-2023,Second Class,CUST-1038,Customer_38,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10038,Office Supplies,Paper,Paper Product 38,4870.49,3,0.05,1247.58
39,ORD-100039,26-01-2023,28-01-2023,Standard Class,CUST-1039,Customer_39,Corporate,India,Kolkata,West Bengal,700001,East,PROD-10039,Furniture,Tables,Tables Product 39,4021.06,4,0.1,280.67
40,ORD-100040,09-02-2023,16-02-2023,Second Class,CUST-1040,Customer_40,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10040,Technology,Phones,Phones Product 40,4092.1,8,0.1,434.98
41,ORD-100041,25-01-2023,31-01-2023,Same Day,CUST-1041,Customer_41,Home Office,India,Pune,Maharashtra,411001,West,PROD-10041,Furniture,Tables,Tables Product 41,1429.09,2,0.1,168.33
42,ORD-100042,03-07-2024,06-07-2024,Same Day,CUST-1042,Customer_42,Corporate,India,Mumbai,Maharashtra,400001,West,PROD-10042,Technology,Accessories,Accessories Product 42,933.91,5,0,72.01
43,ORD-100043,18-11-2023,22-11-2023,Same Day,CUST-1043,Customer_43,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10043,Office Supplies,Binders,Binders Product 43,1956.72,10,0.05,202.87
44,ORD-100044,16-06-2024,23-06-2024,First Class,CUST-1044,Customer_44,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10044,Office Supplies,Storage,Storage Product 44,4704.3,4,0.1,648.37
45,ORD-100045,18-11-2023,24-11-2023,First Class,CUST-1045,Customer_45,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10045,Technology,Machines,Machines Product 45,4505.23,9,0.1,886.28
46,ORD-100046,14-12-2024,17-12-2024,First Class,CUST-1046,Customer_46,Corporate,India,Hyderabad,Telangana,500001,South,PROD-10046,Technology,Phones,Phones Product 46,2131.21,7,0.05,413.2
47,ORD-100047,15-07-2024,22-07-2024,Same Day,CUST-1047,Customer_47,Corporate,India,Mumbai,Maharashtra,400001,West,PROD-10047,Furniture,Tables,Tables Product 47,1090.4,10,0.2,189.38
48,ORD-100048,28-03-2024,03-04-2024,First Class,CUST-1048,Customer_48,Consumer,India,Pune,Maharashtra,411001,West,PROD-10048,Office Supplies,Paper,Paper Product 48,3978.99,3,0,481.25
49,ORD-100049,29-08-2023,04-09-2023,Standard Class,CUST-1049,Customer_49,Corporate,India,Delhi,Delhi,110001,North,PROD-10049,Technology,Phones,Phones Product 49,779.4,1,0.05,222.9
50,ORD-100050,29-02-2024,06-03-2024,Standard Class,CUST-1050,Customer_50,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10050,Technology,Machines,Machines Product 50,3496.95,8,0.15,283.24
51,ORD-100051,11-03-2024,13-03-2024,Standard Class,CUST-1051,Customer_51,Corporate,India,Pune,Maharashtra,411001,West,PROD-10051,Office Supplies,Storage,Storage Product 51,2349.52,9,0.05,632.88
52,ORD-100052,17-05-2023,24-05-2023,Same Day,CUST-1052,Customer_52,Home Office,India,Bengaluru,Karnataka,560001,South,PROD-10052,Office Supplies,Storage,Storage Product 52,4940.07,10,0.1,1321.52
53,ORD-100053,31-05-2024,04-06-2024,Second Class,CUST-1053,Customer_53,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10053,Office Supplies,Paper,Paper Product 53,4491.18,8,0.15,380.84
54,ORD-100054,11-10-2023,18-10-2023,First Class,CUST-1054,Customer_54,Consumer,India,Chennai,Tamil Nadu,600001,South,PROD-10054,Office Supplies,Paper,Paper Product 54,3152.4,5,0.15,124.11
55,ORD-100055,06-10-2023,09-10-2023,Second Class,CUST-1055,Customer_55,Consumer,India,Delhi,Delhi,110001,North,PROD-10055,Office Supplies,Binders,Binders Product 55,734.95,4,0.15,142.2
56,ORD-100056,29-02-2024,04-03-2024,Standard Class,CUST-1056,Customer_56,Home Office,India,Delhi,Delhi,110001,North,PROD-10056,Office Supplies,Paper,Paper Product 56,2108.08,4,0.15,247.42
57,ORD-100057,25-01-2024,29-01-2024,Second Class,CUST-1057,Customer_57,Corporate,India,Mumbai,Maharashtra,400001,West,PROD-10057,Furniture,Tables,Tables Product 57,3779.7,7,0.2,744.14
58,ORD-100058,13-08-2023,16-08-2023,Second Class,CUST-1058,Customer_58,Home Office,India,Bengaluru,Karnataka,560001,South,PROD-10058,Furniture,Chairs,Chairs Product 58,1974.84,7,0.05,493.96
59,ORD-100059,30-06-2024,01-07-2024,Same Day,CUST-1059,Customer_59,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10059,Office Supplies,Storage,Storage Product 59,3331.85,2,0.15,179.67
60,ORD-100060,21-02-2023,24-02-2023,Same Day,CUST-1060,Customer_60,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10060,Furniture,Chairs,Chairs Product 60,2300.76,6,0.15,206.07
61,ORD-100061,25-03-2023,29-03-2023,Standard Class,CUST-1061,Customer_61,Consumer,India,Mumbai,Maharashtra,400001,West,PROD-10061,Office Supplies,Storage,Storage Product 61,307.82,6,0.05,62.34
62,ORD-100062,11-09-2023,13-09-2023,Second Class,CUST-1062,Customer_62,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10062,Technology,Machines,Machines Product 62,804.29,3,0.15,150.7
63,ORD-100063,17-12-2024,20-12-2024,Standard Class,CUST-1063,Customer_63,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10063,Furniture,Chairs,Chairs Product 63,3049.17,2,0.05,857.37
64,ORD-100064,27-01-2023,30-01-2023,Second Class,CUST-1064,Customer_64,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10064,Office Supplies,Paper,Paper Product 64,2013.44,4,0,398.71
65,ORD-100065,14-12-2024,21-12-2024,Same Day,CUST-1065,Customer_65,Home Office,India,Delhi,Delhi,110001,North,PROD-10065,Office Supplies,Storage,Storage Product 65,4037.36,10,0,552.31
66,ORD-100066,15-01-2024,16-01-2024,First Class,CUST-1066,Customer_66,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10066,Office Supplies,Paper,Paper Product 66,112.63,7,0.15,5.22
67,ORD-100067,15-04-2024,21-04-2024,Same Day,CUST-1067,Customer_67,Corporate,India,Pune,Maharashtra,411001,West,PROD-10067,Furniture,Chairs,Chairs Product 67,3682.29,5,0.2,780.83
68,ORD-100068,22-03-2024,29-03-2024,Same Day,CUST-1068,Customer_68,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10068,Office Supplies,Paper,Paper Product 68,1645.41,4,0,197.01
69,ORD-100069,20-04-2024,25-04-2024,Second Class,CUST-1069,Customer_69,Corporate,India,Hyderabad,Telangana,500001,South,PROD-10069,Office Supplies,Paper,Paper Product 69,1715.16,8,0.1,129.43
70,ORD-100070,22-09-2023,25-09-2023,Second Class,CUST-1070,Customer_70,Consumer,India,Delhi,Delhi,110001,North,PROD-10070,Office Supplies,Storage,Storage Product 70,4406.53,9,0,789.46
71,ORD-100071,05-09-2023,11-09-2023,Standard Class,CUST-1071,Customer_71,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10071,Furniture,Bookcases,Bookcases Product 71,3802.92,8,0.15,502.15
72,ORD-100072,29-10-2023,31-10-2023,First Class,CUST-1072,Customer_72,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10072,Office Supplies,Binders,Binders Product 72,1565.72,10,0.1,232.22
73,ORD-100073,17-07-2024,20-07-2024,Second Class,CUST-1073,Customer_73,Corporate,India,Delhi,Delhi,110001,North,PROD-10073,Office Supplies,Paper,Paper Product 73,1391.04,5,0.05,97.6
74,ORD-100074,03-05-2023,09-05-2023,First Class,CUST-1074,Customer_74,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10074,Office Supplies,Binders,Binders Product 74,998.13,8,0.1,210.75
75,ORD-100075,18-07-2023,21-07-2023,Standard Class,CUST-1075,Customer_75,Home Office,India,Pune,Maharashtra,411001,West,PROD-10075,Furniture,Chairs,Chairs Product 75,1546.22,9,0.05,167.89
76,ORD-100076,27-10-2023,02-11-2023,Same Day,CUST-1076,Customer_76,Corporate,India,Pune,Maharashtra,411001,West,PROD-10076,Office Supplies,Paper,Paper Product 76,557.81,1,0.2,45.23
77,ORD-100077,15-12-2023,17-12-2023,Standard Class,CUST-1077,Customer_77,Consumer,India,Mumbai,Maharashtra,400001,West,PROD-10077,Furniture,Tables,Tables Product 77,614.73,2,0.15,87.87
78,ORD-100078,02-06-2023,09-06-2023,Second Class,CUST-1078,Customer_78,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10078,Furniture,Chairs,Chairs Product 78,4969.89,2,0.2,999.5
79,ORD-100079,25-01-2024,29-01-2024,Standard Class,CUST-1079,Customer_79,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10079,Furniture,Bookcases,Bookcases Product 79,4950.65,5,0.2,818.13
80,ORD-100080,02-10-2024,04-10-2024,Standard Class,CUST-1080,Customer_80,Corporate,India,Delhi,Delhi,110001,North,PROD-10080,Office Supplies,Binders,Binders Product 80,827.43,3,0.2,23.8
81,ORD-100081,06-04-2024,12-04-2024,Same Day,CUST-1081,Customer_81,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10081,Furniture,Tables,Tables Product 81,211.57,5,0.1,43.53
82,ORD-100082,04-12-2024,06-12-2024,Second Class,CUST-1082,Customer_82,Home Office,India,Delhi,Delhi,110001,North,PROD-10082,Office Supplies,Storage,Storage Product 82,3322.86,4,0.15,161.8
83,ORD-100083,02-06-2023,05-06-2023,First Class,CUST-1083,Customer_83,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10083,Technology,Phones,Phones Product 83,345.21,5,0.2,68.09
84,ORD-100084,08-05-2023,12-05-2023,Same Day,CUST-1084,Customer_84,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10084,Furniture,Bookcases,Bookcases Product 84,2042.42,5,0.2,296.14
85,ORD-100085,04-09-2024,05-09-2024,Standard Class,CUST-1085,Customer_85,Home Office,India,Bengaluru,Karnataka,560001,South,PROD-10085,Office Supplies,Paper,Paper Product 85,3038.38,1,0,325.81
86,ORD-100086,03-10-2023,08-10-2023,Same Day,CUST-1086,Customer_86,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10086,Technology,Accessories,Accessories Product 86,2618.87,8,0.1,197.39
87,ORD-100087,18-05-2024,19-05-2024,Same Day,CUST-1087,Customer_87,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10087,Furniture,Tables,Tables Product 87,1699.88,2,0.05,208.15
88,ORD-100088,09-11-2024,13-11-2024,Same Day,CUST-1088,Customer_88,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10088,Office Supplies,Binders,Binders Product 88,2301.39,6,0.1,255.04
89,ORD-100089,02-01-2023,08-01-2023,Same Day,CUST-1089,Customer_89,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10089,Office Supplies,Paper,Paper Product 89,2095.58,4,0.2,210.49
90,ORD-100090,28-03-2024,04-04-2024,Same Day,CUST-1090,Customer_90,Consumer,India,Mumbai,Maharashtra,400001,West,PROD-10090,Technology,Accessories,Accessories Product 90,2768.64,5,0.15,665.06
91,ORD-100091,30-01-2023,05-02-2023,Standard Class,CUST-1091,Customer_91,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10091,Technology,Machines,Machines Product 91,833.97,9,0,156.84
92,ORD-100092,27-04-2023,01-05-2023,Same Day,CUST-1092,Customer_92,Corporate,India,Mumbai,Maharashtra,400001,West,PROD-10092,Office Supplies,Binders,Binders Product 92,2516.96,5,0.2,469.04
93,ORD-100093,28-04-2024,30-04-2024,Second Class,CUST-1093,Customer_93,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10093,Office Supplies,Binders,Binders Product 93,1948.75,10,0.2,383.07
94,ORD-100094,10-10-2023,17-10-2023,First Class,CUST-1094,Customer_94,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10094,Furniture,Tables,Tables Product 94,4674.53,9,0.1,1099.16
95,ORD-100095,02-11-2023,09-11-2023,First Class,CUST-1095,Customer_95,Corporate,India,Hyderabad,Telangana,500001,South,PROD-10095,Office Supplies,Storage,Storage Product 95,2473.72,3,0.15,382.55
96,ORD-100096,19-07-2024,26-07-2024,Second Class,CUST-1096,Customer_96,Corporate,India,Hyderabad,Telangana,500001,South,PROD-10096,Furniture,Tables,Tables Product 96,4667.62,4,0.05,853.94
97,ORD-100097,14-02-2023,17-02-2023,Second Class,CUST-1097,Customer_97,Corporate,India,Kolkata,West Bengal,700001,East,PROD-10097,Furniture,Bookcases,Bookcases Product 97,4571.48,7,0.15,1221.06
98,ORD-100098,07-02-2023,09-02-2023,Same Day,CUST-1098,Customer_98,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10098,Office Supplies,Paper,Paper Product 98,4355.02,8,0,790.38
99,ORD-100099,28-05-2023,01-06-2023,Same Day,CUST-1099,Customer_99,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10099,Office Supplies,Binders,Binders Product 99,420.4,5,0.1,78.12
100,ORD-100100,24-03-2023,31-03-2023,Standard Class,CUST-1100,Customer_100,Home Office,India,Delhi,Delhi,110001,North,PROD-10100,Office Supplies,Storage,Storage Product 100,1931.05,6,0.15,459.77
101,ORD-100101,12-03-2023,14-03-2023,Standard Class,CUST-1101,Customer_101,Corporate,India,Kolkata,West Bengal,700001,East,PROD-10101,Office Supplies,Paper,Paper Product 101,4987.26,2,0.15,1319.55
102,ORD-100102,20-06-2023,26-06-2023,Same Day,CUST-1102,Customer_102,Consumer,India,Delhi,Delhi,110001,North,PROD-10102,Technology,Phones,Phones Product 102,1655.65,1,0.1,198.04
103,ORD-100103,08-09-2023,13-09-2023,Same Day,CUST-1103,Customer_103,Home Office,India,Bengaluru,Karnataka,560001,South,PROD-10103,Office Supplies,Storage,Storage Product 103,3972.97,3,0.05,237.35
104,ORD-100104,30-11-2024,02-12-2024,Standard Class,CUST-1104,Customer_104,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10104,Office Supplies,Binders,Binders Product 104,1199.33,5,0.15,100.54
105,ORD-100105,22-10-2023,28-10-2023,Same Day,CUST-1105,Customer_105,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10105,Technology,Phones,Phones Product 105,2236.56,6,0.2,189.63
106,ORD-100106,14-09-2023,18-09-2023,First Class,CUST-1106,Customer_106,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10106,Furniture,Chairs,Chairs Product 106,4996.9,8,0,546.17
107,ORD-100107,30-10-2023,05-11-2023,Standard Class,CUST-1107,Customer_107,Home Office,India,Delhi,Delhi,110001,North,PROD-10107,Technology,Machines,Machines Product 107,2009.24,1,0.2,454.62
108,ORD-100108,23-05-2024,30-05-2024,Second Class,CUST-1108,Customer_108,Home Office,India,Delhi,Delhi,110001,North,PROD-10108,Technology,Machines,Machines Product 108,4019.56,4,0.05,784.71
109,ORD-100109,10-04-2023,16-04-2023,Second Class,CUST-1109,Customer_109,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10109,Technology,Accessories,Accessories Product 109,3953.62,1,0.2,400.17
110,ORD-100110,30-10-2023,02-11-2023,First Class,CUST-1110,Customer_110,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10110,Furniture,Chairs,Chairs Product 110,1043.93,9,0.1,169.86
111,ORD-100111,21-09-2023,28-09-2023,Second Class,CUST-1111,Customer_111,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10111,Furniture,Bookcases,Bookcases Product 111,4358.46,2,0.15,1136.35
112,ORD-100112,23-11-2024,29-11-2024,Standard Class,CUST-1112,Customer_112,Corporate,India,Kolkata,West Bengal,700001,East,PROD-10112,Furniture,Bookcases,Bookcases Product 112,1860.59,7,0,216.04
113,ORD-100113,13-01-2024,19-01-2024,Same Day,CUST-1113,Customer_113,Consumer,India,Kolkata,West Bengal,700001,East,PROD-10113,Office Supplies,Paper,Paper Product 113,2943.57,6,0,643.79
114,ORD-100114,26-09-2024,01-10-2024,Standard Class,CUST-1114,Customer_114,Consumer,India,Delhi,Delhi,110001,North,PROD-10114,Office Supplies,Binders,Binders Product 114,3255.88,8,0.1,626.14
115,ORD-100115,16-02-2023,17-02-2023,First Class,CUST-1115,Customer_115,Home Office,India,Delhi,Delhi,110001,North,PROD-10115,Furniture,Chairs,Chairs Product 115,531.1,9,0.05,72.85
116,ORD-100116,14-12-2024,19-12-2024,Same Day,CUST-1116,Customer_116,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10116,Office Supplies,Storage,Storage Product 116,3646.67,7,0,942.38
117,ORD-100117,03-02-2023,09-02-2023,First Class,CUST-1117,Customer_117,Home Office,India,Delhi,Delhi,110001,North,PROD-10117,Technology,Accessories,Accessories Product 117,2251.24,4,0.1,123.45
118,ORD-100118,22-10-2024,25-10-2024,Second Class,CUST-1118,Customer_118,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10118,Furniture,Tables,Tables Product 118,989.55,2,0.15,42.47
119,ORD-100119,16-10-2024,21-10-2024,Second Class,CUST-1119,Customer_119,Home Office,India,Mumbai,Maharashtra,400001,West,PROD-10119,Technology,Accessories,Accessories Product 119,1255.67,3,0.2,76.97
120,ORD-100120,10-08-2023,17-08-2023,Second Class,CUST-1120,Customer_120,Consumer,India,Chennai,Tamil Nadu,600001,South,PROD-10120,Technology,Accessories,Accessories Product 120,3883.12,10,0,463.33
121,ORD-100121,07-07-2024,10-07-2024,Second Class,CUST-1121,Customer_121,Home Office,India,Chennai,Tamil Nadu,600001,South,PROD-10121,Technology,Phones,Phones Product 121,3322.24,1,0.05,145.23
122,ORD-100122,28-11-2023,29-11-2023,Standard Class,CUST-1122,Customer_122,Corporate,India,Pune,Maharashtra,411001,West,PROD-10122,Furniture,Chairs,Chairs Product 122,677.45,7,0.2,26.02
123,ORD-100123,04-04-2024,11-04-2024,Standard Class,CUST-1123,Customer_123,Home Office,India,Delhi,Delhi,110001,North,PROD-10123,Office Supplies,Storage,Storage Product 123,589.82,9,0.05,163
124,ORD-100124,05-11-2024,10-11-2024,Same Day,CUST-1124,Customer_124,Home Office,India,Delhi,Delhi,110001,North,PROD-10124,Furniture,Bookcases,Bookcases Product 124,4821.93,1,0.15,1117.84
125,ORD-100125,21-04-2023,25-04-2023,Second Class,CUST-1125,Customer_125,Corporate,India,Kolkata,West Bengal,700001,East,PROD-10125,Furniture,Chairs,Chairs Product 125,4501.37,6,0.2,211.94
126,ORD-100126,01-10-2024,07-10-2024,Same Day,CUST-1126,Customer_126,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10126,Office Supplies,Storage,Storage Product 126,1659.67,10,0.2,138.95
127,ORD-100127,19-12-2024,20-12-2024,Second Class,CUST-1127,Customer_127,Corporate,India,Chennai,Tamil Nadu,600001,South,PROD-10127,Office Supplies,Storage,Storage Product 127,4394.65,9,0.05,648.29
128,ORD-100128,14-12-2023,21-12-2023,First Class,CUST-1128,Customer_128,Corporate,India,Bengaluru,Karnataka,560001,South,PROD-10128,Furniture,Tables,Tables Product 128,3661.58,6,0.15,359.31
129,ORD-100129,06-06-2023,12-06-2023,First Class,CUST-1129,Customer_129,Consumer,India,Bengaluru,Karnataka,560001,South,PROD-10129,Technology,Phones,Phones Product 129,4167.27,2,0.15,183.95
130,ORD-100130,23-07-2024,24-07-2024,Same Day,CUST-1130,Customer_130,Home Office,India,Hyderabad,Telangana,500001,South,PROD-10130,Office Supplies,Storage,Storage Product 130,1681.75,2,0.15,182.3
131,ORD-100131,22-02-2023,25-02-2023,Same Day,CUST-1131,Customer_131,Consumer,India,Hyderabad,Telangana,500001,South,PROD-10131,Furniture,Tables,Tables Product 131,562.82,9,0.05,44.28
